raceId,year,round,circuitId,driverId,constructorId,pit_stop_time,positionOrder,grid,points,laps,statusId
902,2014,3,3,3,131,24851.0,2,1,18.0,57,1
902,2014,3,3,3,131,24907.0,2,1,18.0,57,1
902,2014,3,3,4,6,24493.0,9,9,2.0,57,1
902,2014,3,3,4,6,24576.0,9,9,2.0,57,1
902,2014,3,3,4,6,25770.0,9,9,2.0,57,1
902,2014,3,3,8,6,24453.0,10,5,1.0,57,1
902,2014,3,3,8,6,25009.0,10,5,1.0,57,1
902,2014,3,3,8,6,25415.0,10,5,1.0,57,1
902,2014,3,3,13,3,24528.0,7,7,6.0,57,1
902,2014,3,3,13,3,24575.0,7,7,6.0,57,1
902,2014,3,3,13,3,25896.0,7,7,6.0,57,1
902,2014,3,3,16,15,25293.0,22,22,0.0,17,4
902,2014,3,3,16,15,40747.0,22,22,0.0,17,4
902,2014,3,3,18,1,24476.0,17,6,0.0,55,8
902,2014,3,3,18,1,25245.0,17,6,0.0,55,8
902,2014,3,3,20,9,24964.0,6,10,8.0,57,1
902,2014,3,3,20,9,26186.0,6,10,8.0,57,1
902,2014,3,3,154,208,25032.0,12,16,0.0,57,1
902,2014,3,3,154,208,25192.0,12,16,0.0,57,1
902,2014,3,3,154,208,25693.0,12,16,0.0,57,1
902,2014,3,3,155,207,26628.0,15,18,0.0,57,1
902,2014,3,3,155,207,27124.0,15,18,0.0,57,1
902,2014,3,3,807,10,24440.0,5,11,10.0,57,1
902,2014,3,3,807,10,24757.0,5,11,10.0,57,1
902,2014,3,3,813,208,25395.0,14,17,0.0,57,1
902,2014,3,3,813,208,26440.0,14,17,0.0,57,1
902,2014,3,3,813,208,32874.0,14,17,0.0,57,1
902,2014,3,3,813,208,34249.0,14,17,0.0,57,1
902,2014,3,3,815,10,24697.0,3,4,15.0,57,1
902,2014,3,3,815,10,24737.0,3,4,15.0,57,1
902,2014,3,3,817,9,24706.0,4,13,12.0,57,1
902,2014,3,3,817,9,24816.0,4,13,12.0,57,1
902,2014,3,3,818,5,25897.0,21,14,0.0,18,31
902,2014,3,3,818,5,33895.0,21,14,0.0,18,31
902,2014,3,3,820,206,25858.0,13,21,0.0,57,1
902,2014,3,3,820,206,25981.0,13,21,0.0,57,1
902,2014,3,3,820,206,27233.0,13,21,0.0,57,1
902,2014,3,3,821,15,25543.0,19,15,0.0,39,4
902,2014,3,3,821,15,25633.0,19,15,0.0,39,4
902,2014,3,3,822,3,25040.0,8,3,4.0,57,1
902,2014,3,3,822,3,25068.0,8,3,4.0,57,1
902,2014,3,3,822,3,25980.0,8,3,4.0,57,1
902,2014,3,3,824,206,18989.0,16,19,0.0,56,11
902,2014,3,3,824,206,25383.0,16,19,0.0,56,11
902,2014,3,3,824,206,25756.0,16,19,0.0,56,11
902,2014,3,3,824,206,25866.0,16,19,0.0,56,11
902,2014,3,3,824,206,29729.0,16,19,0.0,56,11
902,2014,3,3,825,1,24559.0,18,8,0.0,40,8
902,2014,3,3,825,1,24611.0,18,8,0.0,40,8
902,2014,3,3,825,1,25572.0,18,8,0.0,40,8
902,2014,3,3,826,5,25340.0,11,12,0.0,57,1
902,2014,3,3,826,5,25345.0,11,12,0.0,57,1
902,2014,3,3,826,5,26064.0,11,12,0.0,57,1
902,2014,3,3,828,207,25367.0,20,20,0.0,33,31
902,2014,3,3,828,207,25819.0,20,20,0.0,33,31
903,2014,4,17,1,131,22968.0,1,1,25.0,54,1
903,2014,4,17,1,131,23999.0,1,1,25.0,54,1
903,2014,4,17,3,131,23089.0,2,4,18.0,54,1
903,2014,4,17,3,131,23277.0,2,4,18.0,54,1
903,2014,4,17,4,6,22776.0,3,5,15.0,54,1
903,2014,4,17,4,6,22947.0,3,5,15.0,54,1
903,2014,4,17,8,6,22994.0,8,11,4.0,54,1
903,2014,4,17,8,6,23291.0,8,11,4.0,54,1
903,2014,4,17,13,3,23830.0,15,6,0.0,53,11
903,2014,4,17,13,3,78277.0,15,6,0.0,53,11
903,2014,4,17,18,1,22408.0,11,12,0.0,53,11
903,2014,4,17,18,1,22548.0,11,12,0.0,53,11
903,2014,4,17,20,9,22246.0,5,3,10.0,54,1
903,2014,4,17,20,9,22570.0,5,3,10.0,54,1
903,2014,4,17,154,208,23213.0,21,10,0.0,28,6
903,2014,4,17,155,207,24722.0,18,18,0.0,53,11
903,2014,4,17,155,207,24883.0,18,18,0.0,53,11
903,2014,4,17,155,207,25402.0,18,18,0.0,53,11
903,2014,4,17,807,10,22764.0,6,8,8.0,54,1
903,2014,4,17,807,10,23438.0,6,8,8.0,54,1
903,2014,4,17,813,208,23022.0,14,22,0.0,53,11
903,2014,4,17,813,208,24010.0,14,22,0.0,53,11
903,2014,4,17,815,10,22914.0,9,16,2.0,54,1
903,2014,4,17,815,10,23636.0,9,16,2.0,54,1
903,2014,4,17,817,9,22498.0,4,2,12.0,54,1
903,2014,4,17,817,9,23186.0,4,2,12.0,54,1
903,2014,4,17,818,5,24119.0,12,9,0.0,53,11
903,2014,4,17,818,5,24417.0,12,9,0.0,53,11
903,2014,4,17,820,206,23781.0,19,21,0.0,52,12
903,2014,4,17,820,206,23878.0,19,21,0.0,52,12
903,2014,4,17,820,206,23886.0,19,21,0.0,52,12
